word_count,verb_z,content_word_mean,cos,causal_connective,causal_verb,minimal_edit_distance,verb_phrase_density,familiarity_for_word,YL
26372,-0.332386386,0.018299826,0.846291405,21.27256181,0.056878508,0.500567447,199.3402093,58129.66923,8.5
32381,-0.339580874,0.014545609,0.80442472,23.06908372,0.077205769,0.527602691,199.3144128,57316.51386,8
38603,-0.37566593,0.014820728,0.767163821,21.7081574,0.077714167,0.536826686,197.7307463,57703.62814,6.5
40069,-0.337201353,0.015808003,0.869417293,22.01202925,0.057400983,0.517267889,129.6763084,55440.32459,8
13378,-0.446751017,0.029375113,0.73758372,23.62087009,0.06727463,0.564201754,155.8528928,56299.17824,5
39618,-0.443110327,0.017226355,0.817129232,18.50169115,0.047957999,0.554318407,182.846181,56732.60406,7.5
11351,-0.429427525,0.019719387,0.802490702,29.07232843,0.079288168,0.549636411,173.0244031,57165.5347,5.5
19412,-0.536097432,0.010626914,0.557908262,21.63610138,0.066968885,0.670222346,182.7220276,57699.19028,7.5
25007,-0.386914036,0.00857258,0.626436855,17.03523014,0.103970888,0.639672816,150.9977206,57006.11823,8
19065,-0.358385613,0.008039308,0.590033024,16.41751901,0.068187779,0.686484602,157.0416994,56174.079,8
24109,-0.435000784,0.019695231,0.572969348,16.96461902,0.045626115,0.766684113,180.2646315,56880.10654,7
22981,-0.407512087,0.011135165,0.64563805,22.23575998,0.073974153,0.686513014,164.2226187,56531.90165,8
15240,-0.394800532,0.014404074,0.598432018,20.53805774,0.111548556,0.660140243,153.2152231,56344.93274,8
24269,-0.490377755,0.024372258,0.812510279,27.73085006,0.065927727,0.512854557,207.8783633,57886.32898,5
28246,-0.361459446,0.010372555,0.654997775,21.77299441,0.084967783,0.618798478,162.2176591,57281.62864,8
38694,-0.348623148,0.011668039,0.829922755,21.91554246,0.03618132,0.530288723,193.3633121,56817.07662,5
2166,-0.377320375,0.003995961,0.682268028,23.54570637,0.046168052,0.688354087,159.2797784,56308.84831,5
26822,-0.385007532,0.012872327,0.538616544,20.50555514,0.059652524,0.658578618,157.0725524,56491.28069,8
31459,-0.344406331,0.019319472,0.821660001,14.7175689,0.063574812,0.533180491,132.3309705,55184.64416,8.5
18203,-0.438072808,0.005593895,0.567949718,19.94176784,0.159314399,0.731527405,156.4577267,56004.05622,8
25558,-0.360991317,0.011760756,0.867202259,21.32404727,0.054777369,0.506868609,145.433915,56495.01199,5.5
20830,-0.391524549,0.010637273,0.596799472,22.03552568,0.086413826,0.648259914,157.9932789,57175.42929,8
28899,-0.390568391,0.013558031,0.791568902,22.83816049,0.069206547,0.555741076,185.9579916,57242.16908,5
4218,-0.484566547,0.035539031,0.840488465,13.27643433,0,0.518395182,233.5229967,59136.01108,1.4
5259,-0.453045293,0.021211226,0.814809454,15.21201749,0.038030044,0.524423555,222.0954554,59330.38328,1.8
4939,-0.477612983,0.02631464,0.821686929,15.59020045,0.020247014,0.51298334,234.6628872,58962.6506,1.8
5619,-0.471590943,0.024292914,0.816209282,17.26285816,0.017796761,0.501006529,219.7899982,59153.17104,1.8
4644,-0.445547699,0.028694179,0.8153841,13.99655469,0.064599483,0.514019058,219.4229113,59201.47059,1.4
4550,-0.482006672,0.025617578,0.82370135,16.7032967,0.043956044,0.513563614,219.1208791,59283.45267,1.4
5141,-0.472929152,0.019727124,0.804198975,14.97763081,0,0.505228206,208.3252286,59344.93713,1.4
4173,-0.453771562,0.024210677,0.809359012,11.98178768,0,0.506419273,210.6398275,59804.27427,1.2
4955,-0.458715095,0.029961288,0.803195654,9.283551968,0,0.502839103,228.6579213,59311.14837,1.2
9331,-0.488509873,0.023473776,0.841996266,16.82563498,0.010716965,0.526236283,231.2721037,59058.75,2.6
6663,-0.403303249,0.023979002,0.830599401,16.35899745,0,0.521915328,225.5740657,59245.58499,2.6
9694,-0.453347098,0.02037767,0.855995779,21.35341448,0.041262637,0.519583047,213.740458,57960.06139,3.6
16810,-0.461706356,0.026643521,0.852600542,18.50089233,0.03569304,0.521326865,231.0529447,58617.25303,3.2
14885,-0.486792399,0.018909638,0.819950922,19.81860934,0.067181727,0.508350369,209.0695331,58367.87494,3.2
7514,-0.466765166,0.028625882,0.849892711,12.64306628,0.039925472,0.513933146,230.2368911,58905.25337,2.4
7235,-0.470086478,0.022437382,0.820228029,17.55355909,0.0138217,0.523264103,209.813407,58518.31483,2.4
7026,-0.425771349,0.024083047,0.82444479,12.95189297,0.056931398,0.517484071,227.0139482,58712.5066,2.4
